FEN,Evaluation
5rk1/3p2pp/8/4qBP1/8/1P3b2/P6P/1Q3KR1 w - - 4 27,-6167
8/2r3bk/7p/3R3P/4nB2/8/2p5/6K1 b - - 0 49,-6168
8/n6p/8/P5p1/4k3/6PP/4K3/8 b - - 6 47,-617
6k1/1p2Bp2/p5p1/5b2/1P5P/5K2/4r3/8 b - - 0 37,-6170
8/6B1/7p/8/ppk3PP/2p5/2K5/8 b - - 1 46,-6171
5k2/8/1p3P2/1Pp1P3/2P5/8/r7/2KR3r b - - 3 60,-6172
2r5/5pk1/4p1p1/2P1P3/1PQ5/7p/4K1q1/3R4 w - - 2 47,-6173
8/5pp1/6p1/8/7k/5K2/8/8 w - - 2 61,-6175
1k6/np6/p2p1pn1/1p2p3/1P2P3/RBP1q3/1Q1N3r/2K5 b - - 5 36,-6176
4R3/8/5k2/6p1/6p1/6P1/5q2/7K b - - 1 72,-6177
8/8/p2p4/1pq3p1/4Q3/P4pk1/1P6/KRr5 b - - 1 64,-6178
7k/1b6/6p1/1P2p2p/2Bbp2q/1R3r1n/4QPP1/3NR1K1 w - - 0 34,-6179
r2q1rk1/p1pb2pp/1b2p3/2ppN3/3Pn3/8/PP3PPP/RNBQ1RK1 b - - 3 14,-618
8/1p6/2p5/2P3KP/p1P5/1k6/8/8 b - - 0 50,-6180
3r2k1/5pp1/4pb2/3q4/5P2/8/PP6/K4Q1R w - - 2 35,-6181
4k3/8/p1p1PK2/6P1/8/2p2P2/8/8 b - - 0 48,-6182
4R3/5pkp/p5p1/5p2/2p2P2/7P/Pbp3P1/2NqR2K w - - 2 38,-6183
3k4/4p3/3p1p2/2pP3P/3bQ2N/p7/6PK/2q5 b - - 1 47,-6184
8/5k1p/p4Pp1/2P1B1Qn/1p2r3/1P1p3q/P4R2/6K1 w - - 0 39,-6185
8/1p6/4k3/N2b1pp1/8/4K1P1/8/8 w - - 8 54,-6186
R3Qbrk/7p/4pp2/6pN/1p2q3/8/1P2nPPP/5NK1 w - - 2 30,-6187
8/8/5nk1/8/p3n3/P5pQ/1P3r2/3K4 b - - 3 60,-6188
2k5/pp3pp1/7p/8/BKp5/P3nq2/1P6/4R3 b - - 3 41,-6189
8/8/8/2K1pk2/7p/1P6/2R5/5r2 w - - 2 71,-619
8/8/7p/6p1/1K3kP1/8/7P/8 w - - 3 53,-6190
4k3/8/1p2p2p/2p5/8/8/3Q4/5K1q w - - 13 68,-6191
2rr2k1/5p1p/1QR3p1/3p4/3Pb3/P7/1P2KR2/6q1 b - - 3 30,-6192
3r2k1/5p1p/pp1b2p1/3bq1P1/P6R/3Pp2P/1PR1K3/5Q2 b - - 1 33,-6193
8/8/6n1/4p1k1/8/1pK4p/2b5/6R1 b - - 1 71,-6194
r7/4KP1p/7p/4k3/8/8/p7/7R b - - 17 60,-6195
3Q4/5pkp/2q2pp1/2bp4/2p2P2/4n1P1/4KN1P/8 w - - 2 41,-6196
6k1/5p1p/3p2p1/2pP4/P1R1P3/1r2PQ2/7q/2K5 b - - 2 36,-6197
6k1/q1p2pp1/2p2n1p/4p1B1/4P3/1BP2P1K/2R4P/r7 w - - 0 26,-6198
8/2kb4/3p1Qp1/1p1P4/2p1P3/3n1BP1/1r3q1P/1R5K w - - 0 41,-6199
4rrk1/1pp3pp/1pnq4/3p3b/3Pn3/4BN1P/PP2BPP1/2RQ1RK1 w - - 0 18,-62
2r5/p3B1k1/1p2ppp1/3bq2p/1P6/P4P1Q/6P1/3R3K w - - 0 37,-620
5k2/3R4/7p/5p1P/1p3P2/2r1PB2/1p6/5K2 w - - 0 43,-6200
8/5kp1/pR6/1b2b2p/5p1P/1K4n1/8/8 b - - 1 46,-6201
3q1r2/6k1/2Pp2p1/1P5p/4P1bP/2Nn4/8/1R2Q2K w - - 9 48,-6202
5rk1/6bp/p2QP1p1/P1pP1p2/5n2/6qP/6B1/1R5K w - - 0 35,-6204
8/p7/8/8/1P2kpp1/8/P3K3/8 w - - 1 44,-6205
8/kp6/p5R1/P3Bp2/2q1nP2/2p1b3/2Q5/1K6 b - - 0 47,-6206
R7/2p4k/1p4B1/1PpPp3/2P1P2p/5rp1/3q4/6QK b - - 0 39,-6207
5rk1/1b6/7p/2RPq1p1/2p1n1PP/4r3/4N1Q1/4R1K1 w - - 3 41,-6208
8/7R/1P6/K7/P2r2p1/6kp/1r6/8 b - - 0 59,-6209
2kr4/Qp1n2R1/2p1q2p/8/8/6P1/P4PKP/8 b - - 3 33,-621
8/p7/5k2/5p2/P1p2K2/8/8/8 w - - 0 48,-6210
8/8/p3p3/2P3p1/1p4k1/KP6/P2q1p2/7Q w - - 0 59,-6211
8/1R3ppk/4p2p/p6n/1p6/r7/7K/8 b - - 3 43,-6212
8/6B1/5p2/4b3/5k1R/5np1/r7/5R1K b - - 1 44,-6213
8/1p6/1p6/6p1/PP5k/5p1P/7K/8 b - - 1 40,-6214
6k1/5pNp/4p3/N2p2K1/1P2n3/1R4P1/4Q2q/2r5 w - - 2 39,-6215
R7/6pk/5p1p/3n4/6PP/p3n3/3K4/r7 b - - 3 41,-6216
8/p3kpp1/4pb2/3p1P1N/7r/2q5/P3Q1P1/3R2K1 b - - 4 37,-6217
6k1/5p1p/p5p1/1p3b2/4p1P1/P5KP/1P1r4/8 b - - 1 30,-6218
2k5/ppp1r2p/8/8/3q1P2/3p2P1/PP1Q2RP/4rK2 w - - 0 29,-6219
5nk1/6np/4pp2/2rp4/1p1P4/1b4PB/1P3P1P/1N1R2K1 w - - 0 35,-622
7k/6p1/5n1p/P1B1R1p1/3Pb3/5q2/5K2/5Q2 w - - 11 52,-6220
4Qqk1/ppp3p1/2n5/4p3/8/3p3P/6P1/7K w - - 6 43,-6221
8/8/6p1/4p2p/1pk1P2P/6P1/1K6/8 w - - 4 62,-6223
2R5/1p1q3p/6p1/6nk/2P5/5b2/PP3P1K/6Q1 w - - 4 41,-6224
8/1p4pk/4Q2p/2P1p3/8/p6P/6PK/1q6 b - - 2 35,-6225
5rk1/3b4/3p3p/pp1P4/2p3nq/N4B2/1P1Q1bK1/R4R2 w - - 5 40,-6226
Q7/3nk3/4p3/1Pb5/1r6/8/5p2/3K4 w - - 0 58,-6227
5k2/1p3B2/p4b1q/2P1pp2/5n1B/1P6/5Q1K/6R1 b - - 0 50,-6228
8/Q4pk1/4p1p1/4P3/5P1K/p2q4/8/8 w - - 0 68,-6229
r2r2k1/1p2ppb1/4n1p1/p5P1/P2P1n2/Rq6/1B1QNKBR/8 b - - 1 31,-623
6k1/5p1p/3p4/3P1p2/r7/8/prN3PP/R5K1 w - - 0 38,-6230
r3r1k1/P4p1p/3Q2p1/1N1P4/1P6/5q1P/7K/2R5 w - - 1 37,-6231
2Q5/5p1k/p5p1/1P2p2p/5n1P/5b2/6r1/5K2 b - - 0 38,-6232
6k1/pB3pb1/b5p1/4n1N1/5N1Q/6P1/P4P1K/3q4 b - - 5 34,-6233
8/p3R2k/1pB3pp/5p2/2P3n1/1P3NP1/Pq1r3P/2R3K1 b - - 2 36,-6235
8/5pk1/3p2p1/3P4/pp6/2b5/Q4BK1/3q4 w - - 0 44,-6236
7r/r5k1/p2p2p1/2pPp3/2P2q2/P4Q2/2B3Kb/1R5R b - - 1 37,-6237
4rk2/7p/p5p1/8/2p2pP1/P1P4q/1Q2B3/5K2 w - - 0 44,-6238
8/p3Qpk1/1p1p4/nPb1p2r/K3P3/1N4rb/P7/7R b - - 5 36,-6239
8/4N3/5p2/3b3P/p5p1/k3K3/8/8 b - - 2 62,-624
8/1p3pkp/pQ1p4/3P4/2n5/8/P5rP/3K4 b - - 3 33,-6240
6k1/5p2/3p2p1/8/4b2P/3p4/3K4/8 b - - 0 39,-6241
7r/6k1/4q1p1/p1p1p3/3bp1P1/1P1n1p1P/P1QN3K/1R1R4 w - - 2 39,-6242
6k1/p2n4/3P2p1/5p2/2PK1P2/1P4n1/8/7r b - - 1 41,-6243
8/1R3pk1/p2rr1p1/2R3P1/P7/2pp4/5K2/8 b - - 1 50,-6244
7k/4pr1p/p7/1p1p1p2/1q2n2Q/3BK3/6R1/8 b - - 3 37,-6245
r7/2R5/3p1kp1/p2Pp3/1p2PpP1/1P2qP2/4b1K1/Q7 w - - 2 65,-6246
5rk1/4R3/1q1p2pb/3Pp2p/4P3/6P1/1r2b1BP/2Q2R1K w - - 0 30,-6247
8/6k1/r4bb1/2pK4/8/3n4/8/5Q2 b - - 1 63,-6248
8/pp1R4/2p5/8/P7/2kn2r1/5p2/5K2 w - - 2 57,-6249
6k1/1p5p/2p1bppb/p1n1p3/P1PqP1P1/1P3P1P/2Q3B1/1N2N1K1 w - - 1 26,-625
6k1/1p3p1p/3p2p1/8/2r3P1/1b2K2P/8/8 b - - 0 39,-6251
3Q4/5pk1/3P2p1/2p4p/3q3P/6P1/1p3PK1/8 w - - 0 45,-6252
2R4R/6p1/5pkp/p7/4Pp1K/r6P/6r1/8 w - - 0 40,-6253
3r2k1/5p1p/6p1/8/1Q1b1BP1/1P5q/6N1/6K1 w - - 2 37,-6255
8/6p1/2pp3p/4P3/5P1P/2K5/kp6/8 b - - 0 45,-6256
8/6pk/5p2/4KP2/1Pq4p/6rP/P2QR1P1/8 w - - 0 49,-6257
r3r2k/1p1Q4/p6P/2p1b3/P7/2q2Pn1/6K1/4RR2 b - - 4 35,-6258
8/4nK1p/7P/8/4kn2/8/8/8 w - - 0 66,-6259
8/pQ2bpkp/4p1p1/qpp1P3/6P1/BP2P3/P4P1P/6K1 b - - 4 24,-626
8/5pkp/2P3p1/3Q4/8/p5P1/1q4K1/8 w - - 1 49,-6261
8/7n/7P/p7/P3pkP1/P7/4K3/8 w - - 3 69,-6262
8/5pk1/3p2p1/2pP3p/2P2P1K/8/1Q2N1q1/8 b - - 1 45,-6263
8/3k4/1K2n3/P1p5/2P4p/8/5P2/8 w - - 0 56,-6264
8/Q7/8/1q6/1p4K1/1kb5/8/8 w - - 16 76,-6265
8/1K4p1/7p/1P3p1P/8/8/P4kP1/4q3 w - - 0 45,-6266
4k1n1/5pQp/p4n2/1p3q1B/2P1b3/4R2P/PP1r1p2/5K2 w - - 0 33,-6267
8/pp5P/2p1k3/8/3K4/8/PP6/6q1 w - - 0 38,-6268
r5k1/7p/4n2q/3p1p2/6n1/1R4P1/p1N3P1/Q4BK1 w - - 8 56,-6269
3q4/3b1rkp/p4np1/P5Q1/1pP1N3/7P/1P6/5RK1 w - - 5 44,-627
8/4p3/5p2/p1kP1R2/PppbP3/8/6r1/1K3R2 b - - 9 58,-6270
8/5Rbk/3N2p1/4npq1/Q3p3/4P2P/4BPp1/2r2NK1 w - - 0 43,-6271
8/7p/PK4k1/6p1/6b1/1P4P1/r7/4n3 b - - 0 50,-6272
8/8/6k1/5n2/7P/4p1PK/3q2Q1/8 b - - 5 80,-6273
8/4k1p1/8/1p1q2Np/pp3P2/3KP3/P1B5/8 w - - 8 48,-6274
3Q4/7p/1p4p1/PP1P4/6k1/1K1qn3/8/8 w - - 7 69,-6275
8/8/3B2k1/3b2pp/5p2/3q3P/4R1P1/6K1 w - - 2 59,-6276
8/8/1p2kr2/1P4p1/2pp4/5R1P/P5K1/8 b - - 1 56,-6277
1R6/2n5/4Pk1K/r7/1p6/8/6P1/8 b - - 0 52,-6278
8/8/1K3k2/8/p7/P7/1P6/3b4 b - - 1 69,-6279
8/2R2pp1/p3rk2/7p/PP6/3K4/8/8 b - - 0 47,-628
1r2r3/kpQ5/p2p3p/P1pq3P/P7/3B2RK/8/8 w - - 0 39,-6280
8/4P2p/2Bp2pk/3P1p2/3p1P2/q6r/6K1/4Q3 w - - 2 42,-6281
3q2k1/4pp1p/Q5p1/1p6/4b3/3Np2P/PPr3P1/1K2R3 w - - 0 40,-6282
4r3/8/1n4k1/1P5p/8/7K/7P/8 b - - 1 53,-6283
1k3q2/pp4p1/1r5p/5P1P/3P4/8/1p6/1K1RR3 w - - 2 45,-6284
8/8/2P1k3/3nP3/p1K2B2/7p/P7/8 b - - 3 51,-6285
3R4/5p1k/2PKp2p/5q1p/2Q5/6P1/7P/3r4 w - - 4 49,-6286
8/3k3p/K2p4/P2n4/8/5P2/7P/8 b - - 0 55,-6287
4n3/4k3/3p1np1/2p1b3/2R5/3Q2PP/qr2N1K1/8 w - - 1 33,-6288
7b/7P/8/p5P1/3k4/pP6/8/1K6 w - - 2 51,-6289
6k1/p2bpp1p/3p1bpP/1pqP4/4RQ2/2r3P1/2p1PPBK/2R5 w - - 2 30,-629
6k1/5p2/6p1/3q3p/5P1P/3Nb1P1/p1Q4K/8 w - - 0 59,-6290
6k1/5p1p/PQNp2p1/3P4/8/2bqr2P/8/1R4K1 w - - 0 45,-6291
4r1k1/pp3p2/3b2p1/6n1/2PP2q1/3Q4/PP5P/3RB1K1 w - - 0 29,-6292
8/8/p1p5/P5B1/1P6/3kpp2/6p1/6K1 b - - 5 61,-6293
8/1B6/8/2b1k3/P4ppp/8/6K1/8 b - - 3 53,-6294
8/2k4p/1p2p3/1K2P1p1/5p2/6PP/8/8 w - - 0 39,-6295
8/p4pk1/1p1q1bpp/1P3P2/P2r4/4p3/1RQN1PBP/6K1 b - - 0 35,-6296
2R3k1/5p1p/p2P1Qp1/8/5P1K/7P/2r3q1/8 b - - 0 39,-6297
8/6B1/2b5/7P/2k2KP1/2pp4/P7/8 b - - 0 42,-6298
8/8/8/8/3kb1B1/4p1n1/8/4K3 w - - 2 68,-6299
rN2b1k1/Pr2pp1p/Rq1p2p1/3P4/2p1P3/Q6P/5PP1/R5K1 b - - 8 41,-63
5B2/7p/p6P/8/P4b2/5pk1/8/6K1 b - - 7 68,-630
8/8/2p1k3/3n2p1/1P2p1P1/3p2K1/8/5N2 b - - 3 62,-6300
6kb/3P1p2/8/1pp3B1/5P2/3Q4/1r2b3/5r1K w - - 0 40,-6301
4r3/bpp4k/3p1Q2/p2P3q/4p2P/2P2P2/PP2Rn1K/R7 b - - 2 33,-6302
8/8/8/3PKp2/5P1p/7k/5b2/8 w - - 0 52,-6303
8/8/5n2/5P1k/7p/5K2/8/8 w - - 5 68,-6304
8/5Np1/4p3/4P2P/2pk2r1/3bR3/3K4/8 w - - 1 72,-6305
8/8/5K2/1R4p1/r4bk1/5p2/8/8 w - - 2 82,-6306
r5r1/ppp2p1k/5p1p/5Q2/2b4P/n5P1/q3R1P1/5K2 b - - 3 30,-6307
8/4b1k1/1P1q4/8/3PK3/4N3/8/8 b - - 3 54,-6308
8/P7/1KR1k1p1/8/7P/8/r3np2/8 b - - 5 67,-6309
5r2/4p3/p2k4/1b6/1P3KP1/4R3/8/8 w - - 12 50,-631
6k1/pb4b1/4p3/2Q1P3/3n1r2/3q4/PP1N1RPP/7K w - - 0 33,-6310
5k2/2R5/1p3p1p/3p2pP/8/3b4/4rqPN/3Q3K w - - 6 37,-6311
8/pp4pk/4p2p/P4p2/n4P2/1r3KP1/8/8 w - - 2 41,-6312
RRb5/6rk/6p1/pNp5/2P3P1/1P1nb1K1/P4rB1/8 b - - 12 56,-6313
8/4n3/7p/7P/7K/5k2/8/8 w - - 4 51,-6314
5b2/8/2k5/7P/5p2/8/4K3/8 w - - 1 76,-6315
8/p7/4p3/3pP1pk/RNpP3n/2P2rK1/1P6/8 w - - 2 41,-6316
8/8/3p3b/8/3kn3/5K2/B7/8 b - - 11 116,-6317
8/7p/8/3k2P1/n3pK2/1p6/8/B7 b - - 5 58,-6318
6k1/2pb2p1/3p1nqp/Q7/3PPn2/1N3P2/Pr4PP/R4RK1 w - - 5 22,-6319
r5k1/5p1p/2p1b1p1/2p5/1qPbP3/3Q2PP/3R1P1K/rN1R1B2 b - - 0 27,-632
8/8/5Bb1/2p3P1/1p6/1k6/8/2K5 w - - 12 78,-6320
1r4k1/3qp2p/3p1pp1/2pP4/4P2Q/4B1PP/2n2P2/5K2 w - - 0 34,-6321
8/7B/4b2B/3k4/4n3/2pp4/8/2K5 b - - 1 67,-6322
8/1P6/n2p4/P1p2k2/5Pp1/3p4/3K4/8 w - - 1 50,-6323
6kb/3P1p2/8/1pp3B1/5P2/3b4/1r4K1/5r2 w - - 0 41,-6324
8/8/7b/1P6/8/2NK1b1p/6k1/6B1 w - - 1 70,-6325
8/8/8/pppk2K1/8/PP1n4/1P6/8 b - - 2 55,-6326
8/1r2k2p/4b3/2n1p3/3b4/5Q2/6K1/8 w - - 10 56,-6327
7Q/4kp2/P2p2p1/2pPn3/2P3P1/8/5P1p/4KN1q b - - 0 58,-6328
6k1/B7/4p1p1/1bNr1p2/3b2P1/5Q2/1r6/7K b - - 1 36,-6329
8/4R3/3p1kp1/p1rP2n1/1pB2p2/1P6/2P4K/8 w - - 3 46,-633
8/2b5/8/6pp/P7/4k2P/6K1/8 w - - 7 55,-6330
8/8/8/1p6/bP6/P3b3/KBk5/8 b - - 17 66,-6331
8/8/8/5n2/3p1k1p/3B1P2/5K2/8 b - - 1 63,-6332
8/2p5/1p5p/pP4p1/P7/1PkpbPPP/8/2KB4 w - - 2 66,-6333
8/p2r4/5k2/R4b2/8/3p4/PP3K1P/8 w - - 3 40,-6334
8/pp4pk/4p2p/P4p2/n4P2/1r4P1/4K3/8 b - - 3 41,-6335
8/8/8/7p/2n4k/7p/5p2/5N1K w - - 0 59,-6336
2r3k1/5ppp/bp6/p1bpP3/8/5Nr1/R5P1/3K4 b - - 1 37,-6337
8/6n1/p5k1/3pRp1p/4nB1P/8/1qB5/3K4 b - - 11 60,-6338
8/8/8/6K1/7p/3p2k1/3Nb3/8 w - - 2 85,-6339
8/6p1/5p1p/8/4P1k1/5NP1/2K4P/8 b - - 0 56,-634
1K6/8/P1Pn4/8/3k4/3p4/2P2p2/8 w - - 0 66,-6340
r6r/4q3/5k2/3b4/3pBP2/p6P/4Q3/5RK1 w - - 1 36,-6341
8/6kp/1p1p1pp1/1P1P4/4P3/7P/3p2P1/2R4K b - - 0 44,-6342
8/4k2p/2Q1b3/2n1p3/3b4/8/1r4K1/8 w - - 12 57,-6343
8/1P2k3/4P1K1/4bP2/6P1/8/p7/8 w - - 0 53,-6344
8/8/6k1/5b2/5K1p/7p/r2p2P1/3R4 w - - 0 51,-6345
6k1/pp3p1p/6p1/1Bbnq1P1/8/P3rQ2/1P3K1P/4R3 w - - 0 33,-6346
8/8/p4pkp/2B3p1/1Pp3P1/2QR2KP/4q1P1/4r3 b - - 4 71,-6347
8/8/8/8/2b1N3/1p3p2/1K4k1/8 w - - 14 73,-6348
8/1b6/1k4K1/7P/n7/8/8/8 b - - 0 57,-6349
2r3k1/ppq1b1pp/2n1p3/3pP3/3N2Pn/2P4P/PP2Q3/R1B2K1B b - - 0 19,-635
2r5/2Q4p/4qp1k/1B6/3B1n2/1p3N2/r4PPP/2b2KR1 w - - 4 30,-6350
r5k1/1pp2ppp/3pb3/8/2P5/rpP3K1/8/4R3 w - - 0 33,-6351
8/6p1/2pp4/1p1n4/pP3k2/P4P2/4K3/8 b - - 0 49,-6352
8/8/8/8/4B3/1pp1b1k1/8/1K6 b - - 19 80,-6353
2r5/5pk1/8/p3p1p1/P2Q4/2Pb4/1P2q1P1/2K4R w - - 0 42,-6355
1q6/p7/P1Qp2k1/2pPp3/2P1n1P1/2B1K3/5p2/8 w - - 0 63,-6356
Q7/5ppk/4p2p/4P3/5q2/1r5P/pr4PK/R3R3 w - - 15 55,-6357
8/b7/P6P/8/4k3/5p2/7K/8 b - - 0 72,-6358
1R3b2/1b5p/5kn1/8/2p5/P5P1/6P1/6K1 b - - 1 38,-6359
5rk1/p1p2pp1/2B2b2/1p2pb2/8/2P4P/1P1r1PP1/R4RK1 w - - 6 23,-636
7k/1p4p1/8/p2n3p/P3n1bP/1Pr5/1R2pKP1/1R6 w - - 2 36,-6360
8/1p5p/1bp5/3p1p2/P4k1P/2K5/8/8 b - - 3 45,-6361
8/1PB5/b7/P7/4k1pp/5p2/5K2/8 b - - 0 60,-6362
8/pp1k3p/2p2p2/2Ppr1pK/1P6/P7/5r2/6R1 w - - 0 31,-6363
8/8/8/5n2/5k1p/7P/6PK/8 w - - 2 64,-6365
8/8/3pp3/2p1p3/p3P2k/P1PP3p/7K/8 w - - 4 49,-6366
3r2k1/ppp2pp1/3r2np/4p3/6b1/P7/1PK3NR/4R3 b - - 0 31,-6367
8/3P2k1/3K1b2/5P2/8/3n4/5P2/8 b - - 2 70,-6368
8/p7/1p6/5n2/8/PPk4p/7K/8 w - - 4 55,-6369
8/5k2/1R5p/8/1pp1P2P/5P2/3r4/6K1 w - - 0 55,-637
8/1Np1k3/p2pp2p/4p1p1/PP2P3/2Pq3P/7K/8 w - - 0 36,-6370
8/p4pk1/4n1p1/8/P4pP1/2pq1P2/3R1QBK/8 b - - 0 43,-6371
4r1k1/p4pp1/7p/8/8/1PK5/P1R2rPP/8 b - - 9 35,-6372
8/8/7p/4P3/1K6/1P4pn/5k2/8 w - - 0 62,-6373
8/1pb5/p3K3/8/PP4k1/6pp/8/6B1 b - - 1 59,-6374
8/p4pk1/q2p2r1/4p3/3bn2P/1Q1PB3/4K1P1/2R5 b - - 1 31,-6375
8/8/2k5/2b1B3/8/p4K2/8/8 b - - 1 72,-6376
8/8/4p1pk/4Pn2/5P2/5K2/8/8 b - - 11 62,-6378
8/3k4/6n1/4P3/4b3/1K6/1P6/8 w - - 0 43,-6379
8/1n1P1k2/8/4KN2/8/8/8/2r5 b - - 10 57,-638
8/2Q5/kp4R1/8/p7/P4b1P/r3q1PK/8 b - - 1 54,-6380
8/R5pk/4p2p/4qp2/P2r4/8/4QKPP/8 b - - 1 40,-6381
6k1/p4p1p/2p3p1/6Q1/P2Pr3/8/3R1KPP/1q6 b - - 2 34,-6382
R7/6pk/5p1p/3n4/6PP/4n3/p2K4/r7 w - - 0 42,-6383
8/8/4KPnb/2k4P/8/8/8/8 b - - 0 58,-6384
8/pN3pk1/2P2pp1/1P2qn2/P3r2p/3Q4/2N3Pb/5R1K b - - 1 33,-6385
6k1/pp5p/6p1/4P3/3p2Q1/4bKPP/8/3q4 w - - 10 35,-6386
8/4k3/1p2b3/6p1/7p/2P5/B5K1/8 b - - 0 46,-6387
7Q/4pkn1/3p4/3P1p2/4n3/2p4P/5r2/6K1 b - - 1 39,-6388
8/7p/5Kp1/1k3pP1/5P1P/8/8/3b4 w - - 2 56,-6389
3r4/8/p3pk2/QpP1pp2/4q3/P5P1/1P3R1P/5rK1 w - - 0 43,-639
4B3/p7/3p4/1P6/5p2/2n1k3/6K1/8 b - - 9 76,-6390
8/6b1/8/8/2K5/B7/2p5/1k6 b - - 13 72,-6391
5k2/4pp2/3p1q2/2pP3p/2K2P1P/4Q3/nr6/2R1R3 b - - 5 36,-6392
8/3P4/8/5K2/5P2/6kp/5b2/8 b - - 0 54,-6393
8/8/7p/7P/5nB1/4kp2/8/5K2 b - - 3 63,-6394
8/8/7p/6p1/5k1P/P6K/1n6/8 b - - 9 62,-6395
2Q5/4pkn1/3p4/3P1p2/4n3/7P/2pr4/6K1 w - - 2 41,-6397
6k1/5p1p/1n2p1p1/p2p4/Pp3P1P/3BP3/4r3/7K b - - 1 39,-6398
r5k1/p5pp/5p2/3rb3/5n2/5K1P/P1R5/2R5 b - - 1 35,-6399
2rqr1k1/p4pbp/4p1p1/3p4/3P4/1P2BQ1P/P4PP1/2R1R1K1 b - - 1 18,-64
1r4k1/5b1p/3p1P2/p4p2/1pq1pP2/8/P4QBP/4R2K b - - 0 34,-640
8/1N6/4p3/3k1p1n/5P2/p3K3/8/8 w - - 0 74,-6400
2q2r2/4Qpk1/1p1p2pp/3Pp2P/2P1P3/1R1B2K1/3r1n2/7R w - - 4 35,-6401
8/6kp/1p1p1pp1/1P1P4/4P3/7P/3p2P1/2rR3K w - - 1 44,-6402
8/8/3p1p2/3PbB2/4Pkpp/8/6K1/8 w - - 0 50,-6403
8/8/5kp1/4p3/3p4/2nP4/p7/RB2K3 b - - 0 55,-6404
3b4/7p/3p4/2pPp2P/2PkP3/2q5/5QK1/3q1N2 b - - 5 70,-6405
8/1Q5k/4n1p1/5p2/p1Pb1Pr1/P6K/7P/8 b - - 11 50,-6406
2r3k1/5pp1/pp2p2p/8/1RP5/2b4q/P1KrQP2/1R6 w - - 6 40,-6407
r3k3/1pp5/1b1p4/1n6/4P1P1/4r3/P5K1/3R4 w - - 2 32,-6408
8/3n4/8/2pP4/2P5/3N2k1/4K2p/8 b - - 3 58,-6409
R7/8/2p5/4pk2/2P2p1p/2N2r1P/8/6bK w - - 0 47,-641
3b3r/3P1pk1/2Q5/1p2Pbp1/1Pp1Np2/2P5/1r6/6K1 w - - 0 52,-6410
5b2/5P1p/8/7P/pk2p3/1p1K4/1B6/8 w - - 0 58,-6411
4n1k1/pp3ppp/2pp4/P4P2/3r3P/6K1/8/8 b - - 0 35,-6412
8/8/3p4/3Pp2p/4Pp2/5Pk1/4K3/5Bb1 w - - 6 45,-6413
8/8/p4k2/1n3P2/pP6/8/1K6/8 w - - 6 64,-6414
8/5N2/8/4p3/5bp1/8/7k/5K2 w - - 8 58,-6415
4n1k1/pp3ppp/2pp4/5P2/P1rP3P/6K1/8/8 b - - 0 34,-6416
8/4b3/8/1p6/1p6/1K4kN/8/8 b - - 0 57,-6417
8/5QP1/2k2p1K/3np3/2p3qP/6r1/8/8 w - - 3 57,-6418
8/5p1k/p7/2q2p2/P5nP/8/6P1/1Q5K b - - 1 45,-6419
8/7p/4p3/6P1/3pk2P/r5P1/3pK3/6R1 b - - 0 43,-642
7k/3b3p/B2p2P1/q1pP4/N2b1P1P/1r6/6P1/5Q1K b - - 0 33,-6420
4n1k1/pp3ppp/2pp4/5P2/P2r3P/6K1/8/8 w - - 0 35,-6421
1n6/1P4p1/8/P6P/4k3/4p3/4K3/8 w - - 2 83,-6422
6k1/5n2/1P6/6p1/4Kp2/4p2q/4B1p1/Q7 b - - 1 64,-6423
8/ppp3k1/7p/4P2q/1P1P2pP/3Qnr2/P5K1/R6R w - - 0 25,-6424
R4bk1/7p/8/3Pp3/1p4K1/3Q2P1/5q1r/8 w - - 2 40,-6425
8/B7/2R5/1p4pk/2b5/6KP/P3r3/8 b - - 2 39,-6426
3r3k/6pp/5b2/8/8/5KP1/5P1P/1Q1r4 b - - 0 38,-6427
8/p5pk/1p2r2p/4B3/2p4q/1PQbKP2/4p1P1/4R3 b - - 6 51,-6428
6k1/6b1/p6p/Pr1p4/2p1b1P1/3p4/7P/1BQ4K w - - 1 45,-6429
r6k/1p4pb/p1p1q2p/4P1n1/P2Q1R2/6R1/6P1/6K1 b - - 0 38,-643
8/8/3p3p/2p5/6P1/1k3KbP/8/8 b - - 3 59,-6430
3N2k1/1R3p2/6pP/4b3/8/8/r6r/3R2K1 b - - 1 39,-6431
3n4/8/P1K1p2k/5pp1/7p/8/8/8 w - - 1 51,-6432
6k1/5p2/1p1P2pp/pp2P3/7q/4R3/P1N1RK2/3r4 w - - 1 53,-6433
8/6b1/4Q1pk/p7/5P2/2p1N3/4q2P/6K1 b - - 3 53,-6434
3rr1k1/5pp1/7p/p2p4/P1p5/6P1/4BP2/5K2 w - - 0 40,-6435
1r3k2/8/6Qp/4p3/1b3N2/6PP/1P1r1qBK/8 b - - 2 35,-6436
6k1/pp4p1/2b4p/2p1pP1K/3p4/1P5r/8/5N2 w - - 0 34,-6437
1R6/5ppk/2P4p/p7/3pb3/PP4PP/5PBK/3nq3 w - - 2 37,-6438
8/8/8/1p1b4/1Pp1kpK1/2P5/P6P/8 w - - 2 49,-6439
2r3k1/1r4pp/5p2/2bPP3/5P2/1pp3P1/4RRKP/2B5 w - - 1 44,-644
1r6/8/3k3p/5Q2/1b3p2/6PP/1P1r1qBK/8 w - - 6 39,-6441
4r1k1/1R5p/2Pp2p1/p1pP2q1/4p3/5p1P/PP3PP1/1R4K1 w - - 0 35,-6442
